manufacture,total,gdp
30463582,58391428,190
31508605,57911467,205
31827552,62430581,209
32151843,60802011,215
30643443,63576667,198
32529681,62425906,214
32515929,66001652,216
33042826,65727128,228
32784950,69674537,212
34525105,67327925,230
34274138,69398072,233
35558655,72050838,245
35157001,75945411,221
35873689,71065502,235
34962633,71696517,237
37245024,74891800,254
36719499,80188932,233
37764988,75334811,250
37477925,78460976,249
38594675,78110866,261
38139805,84771857,239
39659164,80103119,259
39599965,83125288,260
41090046,84412563,274
41073147,91064761,254
41302284,83789191,271
41673949,87292215,273
41922998,86573204,288
42840555,93771421,266
44017996,88607864,286
44209272,92195574,287
45904855,94030575,306
46630413,102600644,280
46453468,92176801,298
46980393,96355096,298
44730623,93937597,301
43243943,100271233,275
46103636,93994112,295
48349857,98999769,301
49551804,101209521,315
51004179,112501199,295
52324030,103635419,317
53107712,109070478,317
55010722,108953134,334
56510891,121409872,310
57065650,108953138,328
57412028,112541747,328
58712638,112165503,344
58940469,124743243,317
58820240,111495737,336
58976050,115931973,335
58708554,114421995,352
59113638,125024274,324
60422978,113833823,345
60524819,118600075,346
62239991,117390407,364
62041015,125634800,336
62330164,114512733,357
62086570,118232876,357
63032483,119211291,374
62410898,128144920,345
62518585,116313560,366
62439263,121058279,368
61988439,118138055,386
62849202,130466302,356
62637522,118027151,378
63297123,126206047,378
64040174,122339403,396
64368413,132177888,366
63405934,119227618,389
66354256,130898326,392
64816224,125442554,407
65526652,138048007,376
65924738,123608715,400
67258925,137291348,400
